0 0.11 0.142 0.014 0.042 	 0.024 0.109 0.003 0.019 	 0.001 0.093 0.0 0.001 	
200 0.464 0.833 0.393 0.0 	 0.002 0.846 0.001 0.001 	 0.0 0.108 0.0 0.0 	
400 0.524 0.877 0.466 0.001 	 0.02 0.87 0.01 0.01 	 0.0 0.126 0.0 0.0 	
600 0.584 0.897 0.524 0.0 	 0.018 0.899 0.015 0.016 	 0.001 0.109 0.0 0.001 	
800 0.639 0.918 0.592 0.001 	 0.035 0.913 0.031 0.033 	 0.012 0.118 0.0 0.012 	
1000 0.659 0.93 0.609 0.0 	 0.058 0.895 0.044 0.05 	 0.018 0.096 0.005 0.018 	
1200 0.702 0.945 0.663 0.002 	 0.033 0.899 0.024 0.029 	 0.002 0.118 0.0 0.002 	
1400 0.708 0.948 0.671 0.001 	 0.08 0.911 0.066 0.077 	 0.161 0.119 0.024 0.161 	
1600 0.787 0.953 0.752 0.0 	 0.079 0.904 0.062 0.07 	 0.045 0.12 0.003 0.045 	
1800 0.811 0.961 0.78 0.0 	 0.092 0.898 0.076 0.087 	 0.011 0.13 0.001 0.011 	
2000 0.82 0.969 0.795 0.001 	 0.157 0.902 0.134 0.144 	 0.145 0.124 0.018 0.144 	
2200 0.849 0.97 0.823 0.001 	 0.161 0.913 0.135 0.153 	 0.119 0.128 0.014 0.119 	
2400 0.845 0.973 0.824 0.002 	 0.269 0.905 0.232 0.258 	 0.254 0.129 0.039 0.254 	
2600 0.881 0.977 0.861 0.0 	 0.18 0.912 0.154 0.174 	 0.132 0.124 0.015 0.131 	
2800 0.893 0.985 0.881 0.0 	 0.128 0.904 0.105 0.119 	 0.021 0.12 0.002 0.02 	
3000 0.915 0.991 0.907 0.001 	 0.197 0.909 0.173 0.191 	 0.192 0.124 0.021 0.191 	
3200 0.906 0.989 0.897 0.0 	 0.222 0.91 0.185 0.213 	 0.129 0.134 0.016 0.128 	
3400 0.918 0.987 0.905 0.0 	 0.193 0.905 0.164 0.183 	 0.198 0.126 0.028 0.197 	
3600 0.934 0.989 0.923 0.0 	 0.212 0.904 0.179 0.204 	 0.096 0.123 0.012 0.094 	
3800 0.936 0.99 0.927 0.002 	 0.229 0.911 0.198 0.22 	 0.178 0.121 0.018 0.175 	
4000 0.945 0.99 0.936 0.001 	 0.259 0.901 0.217 0.247 	 0.317 0.124 0.04 0.316 	
4200 0.942 0.993 0.935 0.0 	 0.318 0.9 0.273 0.301 	 0.233 0.127 0.023 0.232 	
4400 0.936 0.991 0.927 0.001 	 0.25 0.889 0.21 0.237 	 0.357 0.127 0.044 0.356 	
4600 0.945 0.996 0.941 0.0 	 0.226 0.901 0.199 0.22 	 0.181 0.118 0.023 0.18 	
4800 0.96 0.991 0.951 0.001 	 0.312 0.908 0.276 0.302 	 0.26 0.129 0.036 0.259 	
5000 0.946 0.987 0.934 0.001 	 0.262 0.894 0.221 0.251 	 0.197 0.131 0.025 0.197 	
final 0.9456 0.9895 0.9355 0.0007 	 0.2661 0.8931 0.2316 0.2549 	 0.2238 0.1072 0.0229 0.2227 	
