0 0.106 0.091 0.013 0.0 	 0.001 0.049 0.0 0.001 	 0.0 0.061 0.0 0.0 	
200 0.491 0.82 0.397 0.0 	 0.0 0.829 0.0 0.0 	 0.0 0.129 0.0 0.0 	
400 0.557 0.871 0.493 0.0 	 0.009 0.862 0.004 0.005 	 0.0 0.125 0.0 0.0 	
600 0.65 0.889 0.576 0.0 	 0.026 0.873 0.018 0.022 	 0.004 0.102 0.0 0.004 	
800 0.682 0.903 0.614 0.0 	 0.025 0.888 0.018 0.02 	 0.0 0.106 0.0 0.0 	
1000 0.738 0.919 0.678 0.0 	 0.056 0.885 0.042 0.049 	 0.029 0.124 0.004 0.027 	
1200 0.778 0.925 0.723 0.001 	 0.056 0.894 0.041 0.05 	 0.059 0.124 0.011 0.058 	
1400 0.79 0.947 0.739 0.0 	 0.059 0.904 0.049 0.055 	 0.05 0.123 0.006 0.05 	
1600 0.817 0.95 0.773 0.0 	 0.151 0.9 0.134 0.141 	 0.167 0.114 0.021 0.166 	
1800 0.844 0.963 0.812 0.0 	 0.086 0.889 0.075 0.078 	 0.048 0.117 0.006 0.047 	
2000 0.868 0.966 0.838 0.0 	 0.117 0.894 0.101 0.109 	 0.053 0.118 0.006 0.046 	
2200 0.895 0.969 0.866 0.0 	 0.172 0.904 0.152 0.163 	 0.166 0.118 0.018 0.155 	
2400 0.901 0.97 0.873 0.001 	 0.181 0.901 0.159 0.171 	 0.096 0.129 0.01 0.092 	
2600 0.915 0.968 0.884 0.002 	 0.255 0.903 0.226 0.242 	 0.142 0.124 0.013 0.139 	
2800 0.915 0.971 0.888 0.0 	 0.155 0.901 0.138 0.147 	 0.044 0.128 0.006 0.043 	
3000 0.928 0.971 0.9 0.001 	 0.227 0.9 0.205 0.215 	 0.163 0.124 0.016 0.158 	
3200 0.927 0.979 0.906 0.002 	 0.316 0.904 0.282 0.309 	 0.193 0.128 0.024 0.189 	
3400 0.942 0.977 0.922 0.001 	 0.257 0.897 0.227 0.245 	 0.139 0.125 0.01 0.131 	
3600 0.942 0.984 0.926 0.001 	 0.189 0.9 0.161 0.181 	 0.078 0.119 0.008 0.075 	
3800 0.945 0.99 0.935 0.0 	 0.238 0.896 0.21 0.231 	 0.168 0.12 0.019 0.157 	
4000 0.95 0.987 0.937 0.0 	 0.267 0.909 0.238 0.258 	 0.213 0.126 0.028 0.209 	
4200 0.951 0.986 0.937 0.0 	 0.291 0.892 0.257 0.281 	 0.146 0.111 0.014 0.135 	
4400 0.953 0.984 0.938 0.0 	 0.394 0.901 0.35 0.375 	 0.229 0.118 0.025 0.214 	
4600 0.952 0.988 0.94 0.0 	 0.316 0.902 0.281 0.303 	 0.084 0.125 0.007 0.08 	
4800 0.96 0.984 0.944 0.001 	 0.344 0.904 0.309 0.334 	 0.26 0.116 0.024 0.246 	
5000 0.959 0.988 0.947 0.0 	 0.26 0.906 0.23 0.253 	 0.084 0.12 0.009 0.079 	
final 0.9644 0.9898 0.9546 0.0002 	 0.2307 0.8945 0.2015 0.2209 	 0.0815 0.1023 0.008 0.0773 	
