0 0.093 0.102 0.009 0.0 	 0.0 0.1 0.0 0.0 	 0.0 0.108 0.0 0.0 	
200 0.501 0.826 0.413 0.0 	 0.01 0.831 0.001 0.001 	 0.0 0.128 0.0 0.0 	
400 0.608 0.861 0.52 0.0 	 0.011 0.859 0.002 0.003 	 0.001 0.125 0.001 0.001 	
600 0.658 0.877 0.58 0.0 	 0.027 0.87 0.013 0.018 	 0.042 0.12 0.006 0.042 	
800 0.703 0.889 0.635 0.0 	 0.027 0.884 0.012 0.015 	 0.039 0.115 0.006 0.037 	
1000 0.753 0.902 0.682 0.0 	 0.048 0.888 0.029 0.034 	 0.018 0.116 0.005 0.013 	
1200 0.78 0.906 0.71 0.0 	 0.028 0.889 0.013 0.019 	 0.008 0.108 0.0 0.007 	
1400 0.783 0.903 0.708 0.0 	 0.055 0.884 0.035 0.039 	 0.168 0.115 0.023 0.155 	
1600 0.834 0.917 0.765 0.001 	 0.063 0.898 0.039 0.045 	 0.024 0.111 0.004 0.02 	
1800 0.86 0.91 0.78 0.001 	 0.046 0.887 0.034 0.038 	 0.021 0.113 0.002 0.018 	
2000 0.888 0.926 0.822 0.001 	 0.057 0.872 0.037 0.041 	 0.026 0.113 0.001 0.015 	
2200 0.889 0.925 0.821 0.001 	 0.081 0.886 0.057 0.068 	 0.013 0.12 0.003 0.013 	
2400 0.903 0.923 0.83 0.001 	 0.084 0.878 0.065 0.069 	 0.132 0.115 0.019 0.124 	
2600 0.916 0.924 0.846 0.001 	 0.109 0.88 0.085 0.092 	 0.157 0.12 0.024 0.14 	
2800 0.926 0.928 0.861 0.0 	 0.091 0.889 0.063 0.077 	 0.181 0.118 0.027 0.166 	
3000 0.939 0.932 0.878 0.001 	 0.106 0.885 0.077 0.084 	 0.079 0.121 0.008 0.067 	
3200 0.935 0.942 0.879 0.002 	 0.106 0.9 0.084 0.095 	 0.046 0.102 0.007 0.038 	
3400 0.943 0.932 0.878 0.0 	 0.1 0.886 0.076 0.088 	 0.049 0.097 0.003 0.033 	
3600 0.946 0.944 0.891 0.0 	 0.146 0.886 0.109 0.124 	 0.12 0.122 0.017 0.109 	
3800 0.943 0.942 0.886 0.002 	 0.074 0.895 0.056 0.062 	 0.025 0.115 0.004 0.022 	
4000 0.95 0.94 0.893 0.001 	 0.123 0.881 0.091 0.099 	 0.125 0.104 0.02 0.091 	
4200 0.955 0.947 0.905 0.0 	 0.094 0.884 0.076 0.083 	 0.041 0.112 0.004 0.034 	
4400 0.955 0.949 0.905 0.002 	 0.207 0.894 0.166 0.18 	 0.377 0.097 0.038 0.267 	
4600 0.962 0.941 0.907 0.001 	 0.143 0.879 0.105 0.116 	 0.135 0.117 0.017 0.115 	
4800 0.964 0.949 0.914 0.002 	 0.136 0.884 0.103 0.12 	 0.027 0.119 0.007 0.025 	
5000 0.961 0.954 0.916 0.001 	 0.132 0.886 0.1 0.11 	 0.026 0.113 0.004 0.024 	
final 0.9616 0.9608 0.9234 0.0002 	 0.1258 0.8879 0.0985 0.1101 	 0.0323 0.1088 0.0041 0.0295 	
