0 0.016 0.107 0.0 0.94 	 0.941 0.109 0.097 0.927 	 0.957 0.118 0.114 0.957 	
200 0.454 0.83 0.382 0.0 	 0.005 0.843 0.002 0.003 	 0.0 0.124 0.0 0.0 	
400 0.52 0.873 0.452 0.001 	 0.018 0.874 0.009 0.011 	 0.0 0.129 0.0 0.0 	
600 0.607 0.895 0.541 0.001 	 0.015 0.889 0.013 0.014 	 0.0 0.123 0.0 0.0 	
800 0.63 0.907 0.568 0.001 	 0.014 0.882 0.009 0.011 	 0.003 0.126 0.0 0.003 	
1000 0.664 0.928 0.616 0.0 	 0.061 0.878 0.049 0.053 	 0.009 0.123 0.001 0.009 	
1200 0.716 0.944 0.673 0.0 	 0.05 0.898 0.037 0.043 	 0.008 0.128 0.001 0.008 	
1400 0.757 0.951 0.723 0.001 	 0.091 0.897 0.076 0.085 	 0.036 0.127 0.003 0.036 	
1600 0.794 0.964 0.766 0.0 	 0.098 0.899 0.083 0.09 	 0.031 0.125 0.006 0.03 	
1800 0.812 0.966 0.781 0.0 	 0.112 0.892 0.097 0.105 	 0.086 0.129 0.012 0.086 	
2000 0.847 0.975 0.825 0.001 	 0.142 0.891 0.119 0.131 	 0.055 0.126 0.006 0.054 	
2200 0.856 0.981 0.838 0.0 	 0.197 0.895 0.172 0.188 	 0.158 0.13 0.018 0.158 	
2400 0.879 0.981 0.86 0.0 	 0.246 0.901 0.212 0.233 	 0.13 0.128 0.02 0.13 	
2600 0.871 0.984 0.855 0.0 	 0.183 0.897 0.161 0.179 	 0.162 0.132 0.019 0.162 	
2800 0.885 0.981 0.867 0.001 	 0.169 0.884 0.147 0.161 	 0.141 0.133 0.022 0.141 	
3000 0.898 0.988 0.886 0.0 	 0.205 0.896 0.175 0.197 	 0.105 0.13 0.02 0.105 	
3200 0.922 0.988 0.91 0.0 	 0.257 0.89 0.224 0.247 	 0.252 0.127 0.034 0.252 	
3400 0.934 0.988 0.922 0.0 	 0.257 0.904 0.229 0.247 	 0.241 0.127 0.033 0.241 	
3600 0.933 0.988 0.921 0.0 	 0.251 0.89 0.216 0.242 	 0.156 0.127 0.024 0.154 	
3800 0.943 0.99 0.933 0.0 	 0.194 0.896 0.168 0.186 	 0.166 0.115 0.024 0.166 	
4000 0.94 0.985 0.926 0.004 	 0.273 0.899 0.239 0.268 	 0.273 0.124 0.038 0.272 	
4200 0.945 0.983 0.928 0.001 	 0.282 0.902 0.253 0.276 	 0.193 0.132 0.036 0.193 	
4400 0.941 0.989 0.93 0.001 	 0.371 0.898 0.34 0.365 	 0.388 0.128 0.051 0.387 	
4600 0.954 0.991 0.945 0.001 	 0.345 0.904 0.305 0.335 	 0.294 0.123 0.038 0.293 	
4800 0.957 0.994 0.951 0.002 	 0.309 0.898 0.273 0.298 	 0.214 0.124 0.023 0.214 	
5000 0.956 0.988 0.944 0.002 	 0.349 0.903 0.314 0.343 	 0.243 0.122 0.032 0.243 	
final 0.9543 0.9895 0.9444 0.0002 	 0.3191 0.8963 0.2826 0.3107 	 0.2491 0.111 0.0268 0.2481 	
