0 0.02 0.087 0.0 0.937 	 0.195 0.088 0.011 0.908 	 0.203 0.122 0.019 0.989 	
200 0.566 0.858 0.49 0.003 	 0.01 0.862 0.003 0.006 	 0.0 0.116 0.0 0.0 	
400 0.632 0.879 0.557 0.002 	 0.012 0.885 0.004 0.005 	 0.0 0.121 0.0 0.0 	
600 0.675 0.898 0.609 0.001 	 0.019 0.882 0.008 0.01 	 0.0 0.119 0.0 0.0 	
800 0.726 0.91 0.661 0.003 	 0.038 0.895 0.026 0.03 	 0.0 0.121 0.0 0.0 	
1000 0.759 0.929 0.703 0.001 	 0.06 0.897 0.042 0.051 	 0.0 0.116 0.0 0.0 	
1200 0.799 0.945 0.754 0.002 	 0.047 0.89 0.034 0.042 	 0.0 0.121 0.0 0.0 	
1400 0.798 0.946 0.753 0.004 	 0.083 0.9 0.064 0.077 	 0.004 0.107 0.0 0.015 	
1600 0.855 0.954 0.816 0.002 	 0.077 0.898 0.064 0.074 	 0.0 0.121 0.0 0.002 	
1800 0.862 0.966 0.835 0.002 	 0.119 0.895 0.096 0.113 	 0.01 0.123 0.001 0.04 	
2000 0.876 0.967 0.846 0.004 	 0.091 0.896 0.073 0.091 	 0.007 0.123 0.0 0.032 	
2200 0.88 0.972 0.856 0.003 	 0.097 0.902 0.076 0.095 	 0.009 0.122 0.002 0.04 	
2400 0.893 0.978 0.873 0.003 	 0.107 0.902 0.088 0.106 	 0.011 0.117 0.003 0.039 	
2600 0.914 0.97 0.888 0.007 	 0.163 0.912 0.144 0.17 	 0.023 0.117 0.002 0.113 	
2800 0.922 0.981 0.904 0.005 	 0.126 0.901 0.105 0.129 	 0.017 0.119 0.001 0.073 	
3000 0.922 0.976 0.899 0.001 	 0.119 0.899 0.102 0.113 	 0.006 0.12 0.001 0.023 	
3200 0.932 0.98 0.912 0.003 	 0.148 0.905 0.13 0.15 	 0.013 0.129 0.002 0.086 	
3400 0.924 0.981 0.907 0.007 	 0.192 0.908 0.164 0.198 	 0.015 0.124 0.002 0.069 	
3600 0.928 0.977 0.905 0.003 	 0.196 0.909 0.167 0.198 	 0.032 0.119 0.004 0.128 	
3800 0.934 0.98 0.916 0.001 	 0.191 0.905 0.167 0.19 	 0.012 0.121 0.001 0.045 	
4000 0.935 0.987 0.922 0.005 	 0.213 0.894 0.186 0.216 	 0.004 0.123 0.001 0.022 	
4200 0.939 0.985 0.924 0.002 	 0.187 0.91 0.165 0.191 	 0.013 0.124 0.002 0.085 	
4400 0.957 0.994 0.951 0.002 	 0.237 0.903 0.207 0.247 	 0.031 0.123 0.003 0.143 	
4600 0.944 0.994 0.938 0.003 	 0.214 0.9 0.182 0.219 	 0.011 0.128 0.001 0.046 	
4800 0.962 0.987 0.949 0.002 	 0.22 0.901 0.189 0.227 	 0.021 0.12 0.0 0.089 	
5000 0.966 0.991 0.958 0.001 	 0.186 0.915 0.161 0.187 	 0.006 0.132 0.0 0.016 	
final 0.9643 0.9896 0.9541 0.0028 	 0.1935 0.8966 0.1638 0.2009 	 0.0033 0.1161 0.0004 0.0161 	
