0 0.138 0.091 0.007 0.002 	 0.0 0.098 0.0 0.0 	 0.0 0.126 0.0 0.0 	
200 0.494 0.839 0.418 0.001 	 0.01 0.848 0.006 0.007 	 0.0 0.127 0.0 0.0 	
400 0.572 0.871 0.505 0.0 	 0.024 0.869 0.016 0.018 	 0.0 0.129 0.0 0.0 	
600 0.627 0.895 0.562 0.001 	 0.057 0.889 0.047 0.052 	 0.002 0.123 0.001 0.002 	
800 0.687 0.923 0.638 0.0 	 0.035 0.884 0.024 0.029 	 0.003 0.125 0.0 0.003 	
1000 0.745 0.923 0.698 0.0 	 0.09 0.883 0.072 0.079 	 0.052 0.127 0.006 0.052 	
1200 0.779 0.944 0.731 0.0 	 0.122 0.9 0.108 0.117 	 0.143 0.128 0.015 0.143 	
1400 0.819 0.952 0.787 0.002 	 0.176 0.9 0.151 0.17 	 0.201 0.129 0.025 0.201 	
1600 0.855 0.964 0.822 0.0 	 0.215 0.897 0.19 0.205 	 0.121 0.123 0.011 0.121 	
1800 0.88 0.964 0.849 0.001 	 0.207 0.893 0.181 0.198 	 0.129 0.122 0.016 0.129 	
2000 0.91 0.964 0.877 0.0 	 0.195 0.894 0.17 0.187 	 0.184 0.121 0.017 0.18 	
2200 0.925 0.973 0.9 0.0 	 0.246 0.911 0.219 0.24 	 0.264 0.121 0.028 0.264 	
2400 0.94 0.975 0.915 0.0 	 0.283 0.896 0.246 0.272 	 0.327 0.128 0.036 0.327 	
2600 0.939 0.983 0.926 0.001 	 0.252 0.903 0.219 0.243 	 0.224 0.119 0.029 0.223 	
2800 0.954 0.984 0.94 0.0 	 0.23 0.897 0.199 0.218 	 0.299 0.12 0.034 0.295 	
3000 0.947 0.98 0.927 0.0 	 0.277 0.907 0.248 0.267 	 0.142 0.125 0.013 0.139 	
3200 0.965 0.99 0.956 0.0 	 0.274 0.909 0.24 0.264 	 0.208 0.109 0.024 0.203 	
3400 0.968 0.985 0.954 0.002 	 0.284 0.906 0.254 0.274 	 0.249 0.121 0.031 0.238 	
3600 0.969 0.99 0.959 0.001 	 0.258 0.907 0.227 0.246 	 0.15 0.121 0.019 0.146 	
3800 0.973 0.992 0.965 0.001 	 0.214 0.908 0.19 0.205 	 0.219 0.125 0.032 0.216 	
4000 0.974 0.993 0.967 0.001 	 0.327 0.905 0.29 0.319 	 0.202 0.114 0.023 0.2 	
4200 0.963 0.994 0.957 0.001 	 0.376 0.908 0.333 0.366 	 0.255 0.128 0.041 0.249 	
4400 0.964 0.987 0.951 0.0 	 0.443 0.907 0.395 0.427 	 0.391 0.132 0.054 0.38 	
4600 0.973 0.994 0.967 0.001 	 0.355 0.902 0.317 0.348 	 0.252 0.119 0.026 0.248 	
4800 0.981 0.99 0.971 0.001 	 0.389 0.901 0.347 0.379 	 0.376 0.123 0.045 0.373 	
5000 0.973 0.992 0.966 0.002 	 0.377 0.908 0.337 0.369 	 0.315 0.125 0.035 0.312 	
final 0.9781 0.9903 0.9689 0.0008 	 0.3962 0.8945 0.3521 0.383 	 0.3224 0.1109 0.0347 0.3181 	
