0 0.119 0.095 0.005 0.441 	 0.081 0.142 0.013 0.441 	 0.166 0.114 0.021 0.907 	
200 0.531 0.864 0.449 0.002 	 0.013 0.88 0.007 0.011 	 0.0 0.119 0.0 0.0 	
400 0.591 0.889 0.521 0.006 	 0.024 0.892 0.02 0.022 	 0.0 0.124 0.0 0.0 	
600 0.643 0.919 0.594 0.0 	 0.02 0.89 0.013 0.018 	 0.0 0.13 0.0 0.0 	
800 0.703 0.93 0.654 0.0 	 0.043 0.92 0.036 0.04 	 0.0 0.118 0.0 0.0 	
1000 0.726 0.943 0.687 0.003 	 0.06 0.907 0.045 0.054 	 0.0 0.122 0.0 0.0 	
1200 0.75 0.951 0.713 0.002 	 0.061 0.917 0.046 0.053 	 0.0 0.126 0.0 0.0 	
1400 0.787 0.952 0.749 0.003 	 0.065 0.907 0.05 0.061 	 0.002 0.126 0.001 0.012 	
1600 0.806 0.963 0.774 0.004 	 0.088 0.923 0.074 0.086 	 0.004 0.125 0.002 0.024 	
1800 0.823 0.969 0.798 0.006 	 0.11 0.906 0.092 0.106 	 0.005 0.122 0.002 0.044 	
2000 0.857 0.972 0.836 0.009 	 0.138 0.917 0.121 0.145 	 0.005 0.126 0.001 0.05 	
2200 0.874 0.979 0.855 0.005 	 0.112 0.918 0.1 0.115 	 0.004 0.127 0.001 0.046 	
2400 0.847 0.971 0.823 0.012 	 0.153 0.923 0.138 0.163 	 0.01 0.124 0.002 0.075 	
2600 0.89 0.985 0.877 0.006 	 0.182 0.91 0.161 0.191 	 0.021 0.124 0.001 0.131 	
2800 0.91 0.991 0.902 0.003 	 0.179 0.919 0.163 0.195 	 0.025 0.117 0.002 0.166 	
3000 0.913 0.985 0.9 0.003 	 0.209 0.909 0.185 0.227 	 0.03 0.121 0.005 0.171 	
3200 0.921 0.991 0.913 0.006 	 0.206 0.918 0.19 0.226 	 0.028 0.122 0.003 0.169 	
3400 0.926 0.991 0.918 0.005 	 0.261 0.923 0.239 0.287 	 0.067 0.123 0.01 0.29 	
3600 0.931 0.985 0.916 0.007 	 0.248 0.907 0.223 0.272 	 0.042 0.119 0.006 0.229 	
3800 0.94 0.989 0.929 0.003 	 0.252 0.909 0.231 0.274 	 0.025 0.122 0.003 0.137 	
4000 0.936 0.99 0.927 0.004 	 0.26 0.903 0.236 0.28 	 0.034 0.115 0.004 0.193 	
4200 0.946 0.995 0.941 0.005 	 0.217 0.912 0.195 0.236 	 0.032 0.12 0.004 0.143 	
4400 0.943 0.994 0.938 0.004 	 0.222 0.917 0.199 0.247 	 0.048 0.119 0.008 0.274 	
4600 0.961 0.995 0.957 0.003 	 0.252 0.913 0.229 0.28 	 0.073 0.119 0.013 0.395 	
4800 0.96 0.998 0.958 0.004 	 0.27 0.919 0.246 0.296 	 0.065 0.121 0.009 0.316 	
5000 0.955 0.993 0.948 0.005 	 0.278 0.916 0.253 0.304 	 0.054 0.126 0.005 0.293 	
final 0.9596 0.992 0.9517 0.0039 	 0.2773 0.8894 0.235 0.2993 	 0.0585 0.117 0.0064 0.2795 	
