0 0.095 0.118 0.009 0.001 	 0.009 0.002 0.0 0.0 	 0.041 0.0 0.0 0.0 	
200 0.474 0.851 0.405 0.0 	 0.007 0.862 0.007 0.007 	 0.0 0.124 0.0 0.0 	
400 0.562 0.885 0.497 0.0 	 0.027 0.879 0.017 0.02 	 0.003 0.113 0.0 0.003 	
600 0.589 0.893 0.515 0.001 	 0.057 0.897 0.053 0.054 	 0.059 0.099 0.003 0.059 	
800 0.642 0.924 0.592 0.0 	 0.056 0.914 0.048 0.053 	 0.007 0.118 0.0 0.007 	
1000 0.679 0.946 0.642 0.0 	 0.105 0.908 0.092 0.101 	 0.069 0.123 0.009 0.068 	
1200 0.72 0.963 0.695 0.001 	 0.117 0.911 0.101 0.111 	 0.111 0.111 0.01 0.109 	
1400 0.76 0.967 0.736 0.003 	 0.199 0.914 0.178 0.193 	 0.25 0.108 0.025 0.25 	
1600 0.811 0.971 0.786 0.001 	 0.16 0.891 0.139 0.151 	 0.126 0.117 0.011 0.119 	
1800 0.842 0.974 0.82 0.0 	 0.17 0.906 0.149 0.166 	 0.143 0.12 0.017 0.137 	
2000 0.88 0.98 0.861 0.0 	 0.189 0.888 0.171 0.183 	 0.145 0.121 0.014 0.142 	
2200 0.89 0.985 0.876 0.001 	 0.278 0.916 0.253 0.271 	 0.29 0.109 0.027 0.27 	
2400 0.904 0.989 0.894 0.0 	 0.238 0.903 0.211 0.234 	 0.253 0.121 0.022 0.249 	
2600 0.922 0.992 0.914 0.0 	 0.255 0.908 0.227 0.25 	 0.299 0.116 0.031 0.294 	
2800 0.937 0.99 0.927 0.0 	 0.23 0.902 0.206 0.225 	 0.219 0.12 0.023 0.215 	
3000 0.943 0.99 0.933 0.0 	 0.264 0.904 0.24 0.263 	 0.249 0.116 0.025 0.248 	
3200 0.95 0.989 0.939 0.0 	 0.27 0.904 0.244 0.267 	 0.189 0.116 0.024 0.186 	
3400 0.949 0.993 0.942 0.001 	 0.292 0.897 0.258 0.283 	 0.27 0.122 0.026 0.261 	
3600 0.949 0.989 0.938 0.0 	 0.313 0.902 0.281 0.307 	 0.215 0.117 0.025 0.202 	
3800 0.958 0.985 0.943 0.0 	 0.297 0.906 0.264 0.291 	 0.203 0.123 0.021 0.2 	
4000 0.971 0.995 0.966 0.001 	 0.306 0.9 0.266 0.296 	 0.354 0.121 0.042 0.347 	
4200 0.97 0.991 0.961 0.003 	 0.377 0.902 0.341 0.37 	 0.367 0.123 0.04 0.364 	
4400 0.97 0.995 0.965 0.001 	 0.387 0.902 0.35 0.382 	 0.531 0.122 0.055 0.515 	
4600 0.966 0.993 0.959 0.0 	 0.387 0.899 0.356 0.379 	 0.348 0.121 0.04 0.34 	
4800 0.979 0.999 0.978 0.0 	 0.403 0.893 0.347 0.394 	 0.373 0.117 0.032 0.352 	
5000 0.966 0.996 0.962 0.0 	 0.353 0.899 0.317 0.348 	 0.315 0.127 0.037 0.309 	
final 0.9717 0.9932 0.9649 0.0012 	 0.3379 0.8995 0.2999 0.3285 	 0.3291 0.1079 0.0344 0.3247 	
