0 0.123 0.104 0.018 0.001 	 0.0 0.097 0.0 0.0 	 0.0 0.105 0.0 0.0 	
200 0.496 0.829 0.414 0.0 	 0.018 0.835 0.002 0.002 	 0.0 0.111 0.0 0.0 	
400 0.591 0.848 0.509 0.0 	 0.016 0.848 0.003 0.003 	 0.0 0.116 0.0 0.0 	
600 0.621 0.878 0.544 0.0 	 0.028 0.87 0.012 0.013 	 0.0 0.114 0.0 0.0 	
800 0.677 0.882 0.602 0.0 	 0.017 0.881 0.004 0.005 	 0.0 0.122 0.0 0.0 	
1000 0.717 0.892 0.643 0.0 	 0.064 0.875 0.038 0.045 	 0.0 0.115 0.0 0.0 	
1200 0.761 0.907 0.688 0.0 	 0.023 0.874 0.012 0.015 	 0.0 0.105 0.0 0.0 	
1400 0.765 0.905 0.697 0.0 	 0.065 0.881 0.04 0.046 	 0.005 0.109 0.001 0.004 	
1600 0.818 0.908 0.741 0.0 	 0.056 0.874 0.035 0.044 	 0.001 0.128 0.0 0.0 	
1800 0.834 0.912 0.76 0.0 	 0.094 0.856 0.06 0.07 	 0.0 0.117 0.0 0.0 	
2000 0.878 0.911 0.798 0.001 	 0.097 0.874 0.067 0.08 	 0.0 0.117 0.0 0.0 	
2200 0.883 0.932 0.822 0.001 	 0.128 0.877 0.096 0.107 	 0.001 0.114 0.0 0.001 	
2400 0.892 0.922 0.823 0.0 	 0.1 0.885 0.076 0.089 	 0.0 0.129 0.0 0.0 	
2600 0.894 0.93 0.829 0.0 	 0.107 0.884 0.072 0.083 	 0.001 0.126 0.0 0.001 	
2800 0.915 0.937 0.859 0.001 	 0.08 0.89 0.057 0.065 	 0.001 0.117 0.001 0.001 	
3000 0.929 0.93 0.864 0.0 	 0.104 0.891 0.076 0.085 	 0.002 0.126 0.001 0.002 	
3200 0.928 0.933 0.865 0.001 	 0.136 0.893 0.104 0.117 	 0.016 0.111 0.002 0.012 	
3400 0.922 0.943 0.87 0.0 	 0.095 0.88 0.066 0.074 	 0.001 0.112 0.0 0.001 	
3600 0.933 0.931 0.871 0.001 	 0.163 0.887 0.127 0.14 	 0.075 0.099 0.003 0.045 	
3800 0.935 0.934 0.874 0.0 	 0.11 0.896 0.081 0.094 	 0.001 0.122 0.0 0.001 	
4000 0.943 0.946 0.893 0.0 	 0.154 0.885 0.115 0.127 	 0.052 0.117 0.006 0.042 	
4200 0.949 0.944 0.895 0.0 	 0.097 0.896 0.075 0.086 	 0.001 0.117 0.0 0.001 	
4400 0.948 0.939 0.888 0.0 	 0.156 0.877 0.115 0.13 	 0.034 0.119 0.007 0.024 	
4600 0.946 0.952 0.898 0.0 	 0.199 0.871 0.156 0.168 	 0.076 0.118 0.008 0.064 	
4800 0.948 0.951 0.899 0.0 	 0.158 0.882 0.12 0.138 	 0.059 0.11 0.008 0.049 	
5000 0.936 0.954 0.89 0.0 	 0.166 0.874 0.128 0.144 	 0.006 0.13 0.001 0.006 	
final 0.9482 0.9554 0.9058 0.0004 	 0.1701 0.8855 0.1343 0.1478 	 0.0078 0.1094 0.0004 0.0076 	
