0 0.122 0.139 0.013 0.0 	 0.0 0.142 0.0 0.0 	 0.0 0.112 0.0 0.0 	
200 0.471 0.836 0.392 0.0 	 0.015 0.845 0.008 0.009 	 0.0 0.131 0.0 0.0 	
400 0.573 0.857 0.497 0.0 	 0.016 0.852 0.005 0.005 	 0.0 0.12 0.0 0.0 	
600 0.652 0.886 0.579 0.0 	 0.023 0.872 0.013 0.015 	 0.0 0.116 0.0 0.0 	
800 0.697 0.889 0.616 0.002 	 0.031 0.89 0.024 0.027 	 0.001 0.108 0.0 0.001 	
1000 0.723 0.909 0.659 0.0 	 0.062 0.877 0.044 0.05 	 0.0 0.126 0.0 0.0 	
1200 0.766 0.927 0.707 0.0 	 0.063 0.889 0.047 0.051 	 0.019 0.126 0.003 0.019 	
1400 0.773 0.927 0.712 0.003 	 0.101 0.895 0.077 0.09 	 0.035 0.119 0.005 0.035 	
1600 0.808 0.945 0.761 0.001 	 0.13 0.885 0.097 0.112 	 0.035 0.131 0.006 0.035 	
1800 0.856 0.939 0.801 0.0 	 0.107 0.888 0.086 0.093 	 0.018 0.129 0.004 0.018 	
2000 0.869 0.945 0.816 0.001 	 0.108 0.886 0.083 0.091 	 0.014 0.125 0.001 0.014 	
2200 0.898 0.944 0.851 0.003 	 0.181 0.884 0.155 0.17 	 0.058 0.124 0.008 0.058 	
2400 0.889 0.941 0.836 0.001 	 0.176 0.895 0.151 0.166 	 0.047 0.124 0.012 0.047 	
2600 0.907 0.95 0.861 0.001 	 0.186 0.899 0.162 0.177 	 0.085 0.13 0.013 0.084 	
2800 0.91 0.952 0.867 0.0 	 0.125 0.901 0.108 0.116 	 0.052 0.127 0.008 0.052 	
3000 0.925 0.954 0.882 0.001 	 0.169 0.897 0.147 0.161 	 0.014 0.127 0.002 0.014 	
3200 0.924 0.958 0.886 0.0 	 0.199 0.904 0.17 0.186 	 0.019 0.119 0.005 0.019 	
3400 0.921 0.961 0.882 0.0 	 0.199 0.9 0.169 0.182 	 0.056 0.125 0.007 0.056 	
3600 0.938 0.966 0.905 0.0 	 0.164 0.898 0.135 0.151 	 0.025 0.125 0.002 0.025 	
3800 0.933 0.964 0.9 0.0 	 0.135 0.889 0.11 0.122 	 0.011 0.128 0.002 0.011 	
4000 0.939 0.967 0.906 0.0 	 0.214 0.884 0.177 0.195 	 0.178 0.126 0.017 0.173 	
4200 0.956 0.961 0.917 0.0 	 0.217 0.898 0.185 0.205 	 0.073 0.126 0.007 0.073 	
4400 0.951 0.968 0.921 0.001 	 0.279 0.891 0.243 0.264 	 0.202 0.129 0.027 0.202 	
4600 0.948 0.963 0.912 0.0 	 0.188 0.898 0.161 0.177 	 0.052 0.127 0.004 0.052 	
4800 0.958 0.976 0.935 0.0 	 0.191 0.898 0.163 0.178 	 0.015 0.128 0.002 0.015 	
5000 0.964 0.974 0.938 0.001 	 0.322 0.907 0.276 0.306 	 0.036 0.129 0.004 0.036 	
final 0.9609 0.9739 0.9356 0.0003 	 0.2913 0.8957 0.2516 0.2768 	 0.0343 0.1095 0.0038 0.0342 	
