0 0.091 0.107 0.01 0.0 	 0.001 0.089 0.0 0.001 	 0.0 0.117 0.0 0.0 	
200 0.49 0.836 0.419 0.0 	 0.007 0.846 0.002 0.003 	 0.0 0.12 0.0 0.0 	
400 0.558 0.866 0.491 0.0 	 0.026 0.861 0.013 0.013 	 0.0 0.128 0.0 0.0 	
600 0.609 0.89 0.544 0.001 	 0.043 0.879 0.03 0.033 	 0.001 0.13 0.0 0.001 	
800 0.672 0.916 0.618 0.0 	 0.018 0.895 0.014 0.016 	 0.0 0.127 0.0 0.0 	
1000 0.715 0.922 0.662 0.0 	 0.06 0.903 0.047 0.05 	 0.006 0.129 0.0 0.006 	
1200 0.743 0.938 0.697 0.001 	 0.043 0.893 0.034 0.036 	 0.001 0.134 0.0 0.001 	
1400 0.771 0.948 0.729 0.0 	 0.087 0.911 0.073 0.083 	 0.002 0.131 0.0 0.002 	
1600 0.805 0.954 0.766 0.001 	 0.124 0.901 0.105 0.121 	 0.057 0.12 0.006 0.055 	
1800 0.822 0.955 0.783 0.003 	 0.154 0.899 0.135 0.142 	 0.05 0.125 0.009 0.05 	
2000 0.839 0.964 0.805 0.001 	 0.131 0.9 0.117 0.127 	 0.051 0.123 0.006 0.048 	
2200 0.853 0.973 0.831 0.001 	 0.227 0.893 0.196 0.218 	 0.237 0.126 0.03 0.236 	
2400 0.875 0.979 0.857 0.001 	 0.136 0.895 0.117 0.127 	 0.056 0.122 0.004 0.055 	
2600 0.865 0.984 0.849 0.0 	 0.233 0.893 0.208 0.226 	 0.06 0.119 0.009 0.06 	
2800 0.882 0.989 0.873 0.0 	 0.141 0.903 0.124 0.134 	 0.073 0.123 0.011 0.073 	
3000 0.906 0.978 0.884 0.0 	 0.187 0.896 0.16 0.179 	 0.07 0.125 0.009 0.07 	
3200 0.908 0.986 0.894 0.0 	 0.166 0.903 0.144 0.158 	 0.028 0.119 0.001 0.028 	
3400 0.925 0.981 0.906 0.0 	 0.26 0.896 0.234 0.25 	 0.065 0.115 0.011 0.065 	
3600 0.925 0.985 0.911 0.0 	 0.262 0.889 0.228 0.253 	 0.146 0.109 0.02 0.134 	
3800 0.93 0.985 0.915 0.001 	 0.235 0.896 0.209 0.225 	 0.071 0.114 0.01 0.07 	
4000 0.944 0.99 0.934 0.001 	 0.275 0.887 0.244 0.263 	 0.11 0.106 0.016 0.105 	
4200 0.931 0.992 0.924 0.0 	 0.299 0.895 0.268 0.29 	 0.181 0.123 0.03 0.176 	
4400 0.938 0.987 0.925 0.0 	 0.353 0.887 0.31 0.345 	 0.233 0.123 0.031 0.226 	
4600 0.942 0.988 0.93 0.001 	 0.293 0.888 0.263 0.286 	 0.134 0.124 0.02 0.132 	
4800 0.94 0.991 0.931 0.0 	 0.35 0.894 0.309 0.344 	 0.091 0.111 0.017 0.089 	
5000 0.945 0.992 0.937 0.0 	 0.311 0.89 0.271 0.297 	 0.151 0.121 0.018 0.149 	
final 0.9459 0.9912 0.9374 0.0004 	 0.3086 0.8952 0.2683 0.2958 	 0.1715 0.1103 0.0181 0.1687 	
