0 0.11 0.099 0.01 0.012 	 0.007 0.116 0.0 0.007 	 0.001 0.101 0.0 0.001 	
200 0.479 0.835 0.411 0.0 	 0.01 0.85 0.003 0.004 	 0.0 0.122 0.0 0.0 	
400 0.607 0.859 0.52 0.0 	 0.023 0.871 0.01 0.011 	 0.0 0.105 0.0 0.0 	
600 0.653 0.877 0.57 0.0 	 0.022 0.877 0.013 0.018 	 0.0 0.085 0.0 0.0 	
800 0.695 0.914 0.638 0.0 	 0.032 0.886 0.024 0.028 	 0.0 0.09 0.0 0.0 	
1000 0.741 0.92 0.684 0.001 	 0.063 0.886 0.045 0.051 	 0.0 0.09 0.0 0.0 	
1200 0.778 0.916 0.717 0.0 	 0.038 0.878 0.026 0.03 	 0.0 0.091 0.0 0.0 	
1400 0.801 0.928 0.747 0.0 	 0.062 0.883 0.049 0.054 	 0.002 0.096 0.0 0.002 	
1600 0.835 0.935 0.783 0.001 	 0.122 0.882 0.1 0.11 	 0.007 0.09 0.001 0.004 	
1800 0.868 0.934 0.812 0.0 	 0.099 0.883 0.083 0.09 	 0.0 0.084 0.0 0.0 	
2000 0.86 0.951 0.817 0.0 	 0.121 0.878 0.1 0.111 	 0.002 0.093 0.0 0.001 	
2200 0.889 0.949 0.843 0.0 	 0.149 0.898 0.129 0.137 	 0.003 0.096 0.001 0.002 	
2400 0.893 0.945 0.842 0.0 	 0.151 0.885 0.13 0.144 	 0.007 0.106 0.0 0.007 	
2600 0.911 0.951 0.866 0.0 	 0.13 0.894 0.11 0.118 	 0.027 0.09 0.001 0.027 	
2800 0.919 0.954 0.875 0.0 	 0.124 0.9 0.106 0.113 	 0.003 0.119 0.0 0.003 	
3000 0.922 0.956 0.881 0.0 	 0.176 0.906 0.151 0.164 	 0.021 0.102 0.003 0.019 	
3200 0.929 0.954 0.885 0.0 	 0.161 0.895 0.138 0.152 	 0.023 0.101 0.001 0.02 	
3400 0.928 0.952 0.881 0.0 	 0.179 0.881 0.142 0.162 	 0.003 0.097 0.0 0.003 	
3600 0.925 0.959 0.885 0.0 	 0.185 0.895 0.159 0.171 	 0.005 0.085 0.0 0.003 	
3800 0.941 0.959 0.903 0.002 	 0.199 0.895 0.173 0.191 	 0.01 0.096 0.0 0.009 	
4000 0.938 0.958 0.898 0.001 	 0.218 0.892 0.19 0.207 	 0.039 0.084 0.001 0.031 	
4200 0.951 0.955 0.909 0.0 	 0.168 0.902 0.146 0.158 	 0.005 0.094 0.0 0.005 	
4400 0.944 0.963 0.907 0.001 	 0.29 0.895 0.248 0.276 	 0.056 0.086 0.005 0.048 	
4600 0.961 0.956 0.918 0.0 	 0.241 0.902 0.216 0.232 	 0.025 0.102 0.001 0.025 	
4800 0.957 0.961 0.921 0.001 	 0.222 0.893 0.188 0.208 	 0.004 0.088 0.0 0.004 	
5000 0.944 0.963 0.909 0.0 	 0.241 0.9 0.21 0.232 	 0.038 0.105 0.003 0.035 	
final 0.9526 0.9727 0.9265 0.0003 	 0.2464 0.894 0.2124 0.2338 	 0.0313 0.1048 0.0024 0.0268 	
