0 0.105 0.102 0.01 0.545 	 0.104 0.107 0.005 0.589 	 0.118 0.093 0.006 0.545 	
200 0.541 0.843 0.453 0.003 	 0.013 0.851 0.003 0.003 	 0.0 0.119 0.0 0.0 	
400 0.612 0.879 0.544 0.005 	 0.016 0.877 0.007 0.008 	 0.0 0.112 0.0 0.0 	
600 0.683 0.908 0.623 0.001 	 0.018 0.874 0.01 0.012 	 0.0 0.109 0.0 0.0 	
800 0.719 0.914 0.654 0.003 	 0.027 0.888 0.016 0.023 	 0.0 0.113 0.0 0.0 	
1000 0.759 0.922 0.695 0.003 	 0.047 0.886 0.029 0.036 	 0.0 0.123 0.0 0.0 	
1200 0.797 0.933 0.738 0.003 	 0.044 0.899 0.029 0.04 	 0.0 0.116 0.0 0.0 	
1400 0.842 0.937 0.787 0.002 	 0.064 0.887 0.05 0.059 	 0.0 0.117 0.0 0.001 	
1600 0.865 0.939 0.809 0.001 	 0.055 0.89 0.042 0.051 	 0.0 0.08 0.0 0.0 	
1800 0.893 0.95 0.85 0.004 	 0.066 0.887 0.046 0.061 	 0.0 0.12 0.0 0.0 	
2000 0.917 0.949 0.869 0.003 	 0.062 0.899 0.051 0.062 	 0.0 0.112 0.0 0.0 	
2200 0.915 0.963 0.884 0.003 	 0.059 0.892 0.043 0.056 	 0.001 0.113 0.0 0.0 	
2400 0.92 0.964 0.886 0.002 	 0.085 0.885 0.065 0.079 	 0.0 0.115 0.0 0.0 	
2600 0.922 0.96 0.888 0.004 	 0.086 0.903 0.068 0.092 	 0.001 0.119 0.0 0.001 	
2800 0.94 0.969 0.911 0.001 	 0.08 0.9 0.063 0.081 	 0.0 0.126 0.0 0.001 	
3000 0.942 0.976 0.919 0.0 	 0.092 0.889 0.069 0.088 	 0.002 0.103 0.0 0.001 	
3200 0.956 0.972 0.929 0.001 	 0.074 0.898 0.057 0.078 	 0.001 0.103 0.0 0.002 	
3400 0.928 0.971 0.902 0.003 	 0.091 0.899 0.066 0.09 	 0.001 0.101 0.0 0.0 	
3600 0.945 0.975 0.921 0.003 	 0.069 0.911 0.052 0.068 	 0.0 0.112 0.0 0.001 	
3800 0.953 0.978 0.931 0.002 	 0.09 0.902 0.071 0.089 	 0.001 0.106 0.0 0.002 	
4000 0.957 0.98 0.939 0.004 	 0.065 0.896 0.05 0.068 	 0.0 0.112 0.0 0.001 	
4200 0.966 0.981 0.948 0.002 	 0.089 0.898 0.069 0.092 	 0.0 0.104 0.0 0.001 	
4400 0.967 0.98 0.948 0.002 	 0.102 0.896 0.078 0.106 	 0.0 0.094 0.0 0.001 	
4600 0.963 0.974 0.938 0.001 	 0.086 0.895 0.066 0.085 	 0.001 0.1 0.0 0.003 	
4800 0.974 0.976 0.951 0.001 	 0.13 0.901 0.104 0.133 	 0.001 0.104 0.0 0.001 	
5000 0.978 0.98 0.958 0.0 	 0.104 0.9 0.084 0.106 	 0.001 0.114 0.0 0.005 	
final 0.966 0.9785 0.945 0.0013 	 0.112 0.8915 0.0857 0.1088 	 0.0015 0.1129 0.0001 0.0061 	
