0 0.123 0.102 0.007 0.007 	 0.011 0.091 0.0 0.011 	 0.0 0.106 0.0 0.0 	
200 0.473 0.846 0.399 0.0 	 0.035 0.856 0.023 0.027 	 0.0 0.124 0.0 0.0 	
400 0.562 0.883 0.497 0.001 	 0.031 0.878 0.025 0.026 	 0.0 0.129 0.0 0.0 	
600 0.605 0.913 0.55 0.0 	 0.044 0.882 0.039 0.041 	 0.001 0.126 0.0 0.001 	
800 0.654 0.921 0.599 0.001 	 0.051 0.901 0.045 0.048 	 0.004 0.122 0.001 0.004 	
1000 0.688 0.939 0.647 0.0 	 0.108 0.9 0.099 0.103 	 0.076 0.126 0.013 0.074 	
1200 0.721 0.945 0.682 0.0 	 0.11 0.898 0.095 0.103 	 0.174 0.125 0.022 0.174 	
1400 0.733 0.961 0.703 0.001 	 0.151 0.913 0.136 0.147 	 0.285 0.123 0.033 0.284 	
1600 0.803 0.96 0.769 0.001 	 0.136 0.906 0.123 0.13 	 0.225 0.125 0.031 0.222 	
1800 0.826 0.967 0.796 0.001 	 0.213 0.901 0.188 0.204 	 0.455 0.122 0.06 0.447 	
2000 0.874 0.974 0.848 0.0 	 0.23 0.899 0.204 0.221 	 0.252 0.12 0.034 0.244 	
2200 0.882 0.971 0.857 0.0 	 0.219 0.896 0.195 0.215 	 0.495 0.119 0.056 0.493 	
2400 0.896 0.985 0.885 0.0 	 0.244 0.904 0.217 0.236 	 0.441 0.119 0.047 0.436 	
2600 0.934 0.979 0.913 0.001 	 0.301 0.9 0.278 0.295 	 0.543 0.109 0.063 0.535 	
2800 0.916 0.985 0.903 0.002 	 0.242 0.905 0.216 0.238 	 0.452 0.125 0.06 0.448 	
3000 0.949 0.981 0.931 0.0 	 0.213 0.905 0.192 0.207 	 0.262 0.129 0.037 0.262 	
3200 0.951 0.991 0.942 0.001 	 0.296 0.903 0.27 0.29 	 0.538 0.122 0.069 0.535 	
3400 0.942 0.991 0.933 0.003 	 0.346 0.906 0.319 0.34 	 0.442 0.123 0.063 0.442 	
3600 0.955 0.99 0.945 0.0 	 0.273 0.889 0.241 0.265 	 0.35 0.115 0.043 0.346 	
3800 0.964 0.991 0.955 0.001 	 0.246 0.902 0.221 0.241 	 0.413 0.114 0.049 0.412 	
4000 0.971 0.988 0.959 0.001 	 0.385 0.906 0.348 0.378 	 0.611 0.116 0.07 0.606 	
4200 0.975 0.991 0.966 0.0 	 0.405 0.9 0.367 0.399 	 0.593 0.125 0.079 0.588 	
4400 0.977 0.993 0.97 0.002 	 0.459 0.9 0.409 0.448 	 0.644 0.104 0.065 0.631 	
4600 0.978 0.986 0.964 0.002 	 0.421 0.9 0.382 0.413 	 0.578 0.114 0.062 0.571 	
4800 0.972 0.994 0.966 0.002 	 0.346 0.905 0.32 0.341 	 0.467 0.123 0.057 0.466 	
5000 0.981 0.993 0.974 0.002 	 0.451 0.893 0.403 0.439 	 0.643 0.118 0.077 0.64 	
final 0.9801 0.9895 0.9701 0.0016 	 0.4518 0.8929 0.4001 0.4385 	 0.6362 0.1101 0.0705 0.6305 	
