0 0.111 0.087 0.007 0.0 	 0.0 0.095 0.0 0.0 	 0.0 0.123 0.0 0.0 	
200 0.464 0.838 0.391 0.0 	 0.001 0.848 0.001 0.001 	 0.0 0.129 0.0 0.0 	
400 0.55 0.889 0.495 0.0 	 0.024 0.864 0.012 0.012 	 0.002 0.128 0.0 0.002 	
600 0.587 0.906 0.533 0.0 	 0.019 0.889 0.016 0.016 	 0.001 0.127 0.0 0.001 	
800 0.638 0.919 0.587 0.0 	 0.041 0.891 0.032 0.036 	 0.036 0.139 0.004 0.034 	
1000 0.669 0.934 0.628 0.001 	 0.089 0.893 0.073 0.078 	 0.017 0.128 0.0 0.017 	
1200 0.717 0.947 0.677 0.001 	 0.071 0.895 0.06 0.066 	 0.009 0.126 0.001 0.009 	
1400 0.723 0.959 0.694 0.001 	 0.108 0.906 0.094 0.103 	 0.056 0.126 0.006 0.056 	
1600 0.779 0.967 0.753 0.001 	 0.19 0.904 0.167 0.184 	 0.133 0.124 0.016 0.133 	
1800 0.806 0.965 0.779 0.0 	 0.154 0.897 0.135 0.147 	 0.06 0.129 0.007 0.06 	
2000 0.82 0.971 0.792 0.0 	 0.124 0.895 0.106 0.121 	 0.025 0.123 0.005 0.025 	
2200 0.858 0.975 0.836 0.0 	 0.22 0.898 0.191 0.212 	 0.138 0.119 0.012 0.137 	
2400 0.88 0.977 0.859 0.0 	 0.228 0.903 0.201 0.22 	 0.095 0.127 0.012 0.095 	
2600 0.889 0.984 0.875 0.0 	 0.261 0.897 0.231 0.253 	 0.203 0.115 0.02 0.203 	
2800 0.913 0.983 0.897 0.0 	 0.248 0.905 0.221 0.239 	 0.171 0.115 0.017 0.17 	
3000 0.9 0.984 0.887 0.0 	 0.188 0.907 0.162 0.183 	 0.08 0.125 0.011 0.08 	
3200 0.924 0.99 0.915 0.002 	 0.234 0.901 0.211 0.227 	 0.126 0.114 0.012 0.123 	
3400 0.929 0.989 0.918 0.002 	 0.317 0.898 0.281 0.309 	 0.283 0.103 0.028 0.278 	
3600 0.945 0.988 0.934 0.0 	 0.261 0.902 0.229 0.254 	 0.167 0.112 0.015 0.167 	
3800 0.941 0.989 0.93 0.0 	 0.283 0.903 0.248 0.276 	 0.184 0.116 0.02 0.182 	
4000 0.946 0.989 0.935 0.004 	 0.387 0.9 0.342 0.377 	 0.397 0.121 0.04 0.395 	
4200 0.966 0.994 0.961 0.0 	 0.323 0.909 0.291 0.317 	 0.295 0.122 0.027 0.293 	
4400 0.956 0.993 0.949 0.002 	 0.339 0.898 0.3 0.332 	 0.323 0.121 0.034 0.318 	
4600 0.968 0.994 0.963 0.002 	 0.354 0.907 0.318 0.348 	 0.278 0.121 0.032 0.276 	
4800 0.963 0.989 0.953 0.003 	 0.384 0.897 0.339 0.376 	 0.33 0.122 0.034 0.326 	
5000 0.961 0.993 0.954 0.0 	 0.307 0.901 0.264 0.294 	 0.238 0.126 0.025 0.237 	
final 0.9604 0.9938 0.9545 0.0006 	 0.2965 0.8941 0.2601 0.2851 	 0.2551 0.1057 0.0283 0.2529 	
